query,intent,product_fit,target_page,decision,reason,source,google_metrics_status
365 days photo app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 2; pilot-v2/keywords_enriched_v2.csv row 2,not_collected_no_paid_checks
ingredient checker,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 86.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 86; pilot-v2/keywords_enriched_v2.csv row 86,not_collected_no_paid_checks
insights,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 87.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 87; pilot-v2/keywords_enriched_v2.csv row 87,not_collected_no_paid_checks
journal diary,daily_photo_journal,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 88.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 88; pilot-v2/keywords_enriched_v2.csv row 88,not_collected_no_paid_checks
journey,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 89.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 89; pilot-v2/keywords_enriched_v2.csv row 89,not_collected_no_paid_checks
journey journal,daily_photo_journal,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 90.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 90; pilot-v2/keywords_enriched_v2.csv row 90,not_collected_no_paid_checks
laps,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 91.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 91; pilot-v2/keywords_enriched_v2.csv row 91,not_collected_no_paid_checks
leap,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 92.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 92; pilot-v2/keywords_enriched_v2.csv row 92,not_collected_no_paid_checks
life photo diary,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 93; pilot-v2/keywords_enriched_v2.csv row 93,not_collected_no_paid_checks
log,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 94.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 94; pilot-v2/keywords_enriched_v2.csv row 94,not_collected_no_paid_checks
maker,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 95.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 95; pilot-v2/keywords_enriched_v2.csv row 95,not_collected_no_paid_checks
measure,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 96.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 96; pilot-v2/keywords_enriched_v2.csv row 96,not_collected_no_paid_checks
measurement,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 97.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 97; pilot-v2/keywords_enriched_v2.csv row 97,not_collected_no_paid_checks
measurements tracker,progress_timeline,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 98.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 98; pilot-v2/keywords_enriched_v2.csv row 98,not_collected_no_paid_checks
methreesixty,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 99.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 99; pilot-v2/keywords_enriched_v2.csv row 99,not_collected_no_paid_checks
metr,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 100.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 100; pilot-v2/keywords_enriched_v2.csv row 100,not_collected_no_paid_checks
moments,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 101.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 101; pilot-v2/keywords_enriched_v2.csv row 101,not_collected_no_paid_checks
monthly progress photos,progress_timeline,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 102; pilot-v2/keywords_enriched_v2.csv row 102,not_collected_no_paid_checks
mood tracker,progress_timeline,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 103.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 103; pilot-v2/keywords_enriched_v2.csv row 103,not_collected_no_paid_checks
muscle progress tracker,outcome_specific_tracker,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 104; pilot-v2/keywords_enriched_v2.csv row 104,not_collected_no_paid_checks
nail growth tracker,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 105; pilot-v2/keywords_enriched_v2.csv row 105,not_collected_no_paid_checks
one photo a day,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 106; pilot-v2/keywords_enriched_v2.csv row 106; exploratory-v1-delta-video-diary/user_manual_keywords_enriched.csv row 10; exploratory-v1-delta-video-diary/user_manual_keywords_raw.csv row 10,not_collected_no_paid_checks
personal,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 107.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 107; pilot-v2/keywords_enriched_v2.csv row 107,not_collected_no_paid_checks
personal photo journal,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 108; pilot-v2/keywords_enriched_v2.csv row 108,not_collected_no_paid_checks
photo,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 109.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 109; pilot-v2/keywords_enriched_v2.csv row 109,not_collected_no_paid_checks
photo a day app,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 110; pilot-v2/keywords_enriched_v2.csv row 110,not_collected_no_paid_checks
photo camera,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 111.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 111; pilot-v2/keywords_enriched_v2.csv row 111,not_collected_no_paid_checks
photo challenge app,unclear,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 112.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 112; pilot-v2/keywords_enriched_v2.csv row 112,not_collected_no_paid_checks
photo diary app,daily_photo_journal,wrong_intent,/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 113; pilot-v2/keywords_enriched_v2.csv row 113,not_collected_no_paid_checks
photo journal,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 114; pilot-v2/keywords_enriched_v2.csv row 114,not_collected_no_paid_checks
photo streak app,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 115; pilot-v2/keywords_enriched_v2.csv row 115,not_collected_no_paid_checks
photos,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 116.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 116; pilot-v2/keywords_enriched_v2.csv row 116,not_collected_no_paid_checks
pics,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 117.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 117; pilot-v2/keywords_enriched_v2.csv row 117,not_collected_no_paid_checks
picture,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 118.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 118; pilot-v2/keywords_enriched_v2.csv row 118,not_collected_no_paid_checks
pictures,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 119.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 119; pilot-v2/keywords_enriched_v2.csv row 119,not_collected_no_paid_checks
planner,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 120.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 120; pilot-v2/keywords_enriched_v2.csv row 120,not_collected_no_paid_checks
product,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 121.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 121; pilot-v2/keywords_enriched_v2.csv row 121,not_collected_no_paid_checks
product scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 122.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 122; pilot-v2/keywords_enriched_v2.csv row 122,not_collected_no_paid_checks
progress,progress_timeline,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 123.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 123; pilot-v2/keywords_enriched_v2.csv row 123,not_collected_no_paid_checks
progress photo app,progress_timeline,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 124; pilot-v2/keywords_enriched_v2.csv row 124,not_collected_no_paid_checks
progress photo tracker,progress_timeline,current_product_fit,/progress-photos/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 125; pilot-v2/keywords_enriched_v2.csv row 125,not_collected_no_paid_checks
progress picture app,progress_timeline,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 126; pilot-v2/keywords_enriched_v2.csv row 126,not_collected_no_paid_checks
progress tracker,progress_timeline,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 127.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 127; pilot-v2/keywords_enriched_v2.csv row 127,not_collected_no_paid_checks
reflect,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 128.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 128; pilot-v2/keywords_enriched_v2.csv row 128,not_collected_no_paid_checks
routine,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 129.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 129; pilot-v2/keywords_enriched_v2.csv row 129,not_collected_no_paid_checks
routine planner,unclear,current_product_fit,,exclude,Pilot-v2 status=manual_review; Insufficient evidence for safe classification in pilot-v2. Evidence: pilot-v2/keywords_canonical.csv row 130.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 130; pilot-v2/keywords_enriched_v2.csv row 130,not_collected_no_paid_checks
routine tracker,progress_timeline,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 131.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 131; pilot-v2/keywords_enriched_v2.csv row 131,not_collected_no_paid_checks
routines,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 132.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 132; pilot-v2/keywords_enriched_v2.csv row 132,not_collected_no_paid_checks
scan,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 133.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 133; pilot-v2/keywords_enriched_v2.csv row 133,not_collected_no_paid_checks
scan score,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 134.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 134; pilot-v2/keywords_enriched_v2.csv row 134,not_collected_no_paid_checks
scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 135.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 135; pilot-v2/keywords_enriched_v2.csv row 135,not_collected_no_paid_checks
score,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 136.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 136; pilot-v2/keywords_enriched_v2.csv row 136,not_collected_no_paid_checks
score ai,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 137.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 137; pilot-v2/keywords_enriched_v2.csv row 137,not_collected_no_paid_checks
selfie,daily_photo_journal,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 138.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 138; pilot-v2/keywords_enriched_v2.csv row 138,not_collected_no_paid_checks
selfie a day,daily_photo_journal,current_product_fit,/photo-diary/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 139; pilot-v2/keywords_enriched_v2.csv row 139,not_collected_no_paid_checks
selfie comparison app,daily_photo_journal,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 140.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 140; pilot-v2/keywords_enriched_v2.csv row 140,not_collected_no_paid_checks
selfie everyday,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 141; pilot-v2/keywords_enriched_v2.csv row 141,not_collected_no_paid_checks
selfie timelapse app,progress_timeline,fit_with_copy_limitations,/photo-progress-video/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 142; pilot-v2/keywords_enriched_v2.csv row 142,not_collected_no_paid_checks
sera,unclear,wrong_intent,,exclude,Pilot-v2 status=competitor_brand; Competitor brand or brand-like navigation term from extraction. Evidence: pilot-v2/keywords_canonical.csv row 143.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 143; pilot-v2/keywords_enriched_v2.csv row 143,not_collected_no_paid_checks
share,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_wrong_intent; SERP or term meaning points to one-off editor, social sharing, generic diary, or unrelated utility intent. Evidence: pilot-v2/keywords_canonical.csv row 144.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 144; pilot-v2/keywords_enriched_v2.csv row 144,not_collected_no_paid_checks
shots,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 145.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 145; pilot-v2/keywords_enriched_v2.csv row 145,not_collected_no_paid_checks
skin,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 146.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 146; pilot-v2/keywords_enriched_v2.csv row 146,not_collected_no_paid_checks
skin ai,unclear,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 147.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 147; pilot-v2/keywords_enriched_v2.csv row 147,not_collected_no_paid_checks
skin analysis,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 148.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 148; pilot-v2/keywords_enriched_v2.csv row 148,not_collected_no_paid_checks
skin app,unclear,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 149.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 149; pilot-v2/keywords_enriched_v2.csv row 149,not_collected_no_paid_checks
skin care,unclear,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 150.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 150; pilot-v2/keywords_enriched_v2.csv row 150,not_collected_no_paid_checks
skin care diary app,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 151; pilot-v2/keywords_enriched_v2.csv row 151,not_collected_no_paid_checks
skin diary,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 152; pilot-v2/keywords_enriched_v2.csv row 152,not_collected_no_paid_checks
skin improvement tracker,progress_timeline,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 153; pilot-v2/keywords_enriched_v2.csv row 153,not_collected_no_paid_checks
skin photo diary,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 154; pilot-v2/keywords_enriched_v2.csv row 154,not_collected_no_paid_checks
skin progress tracker,mixed,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 155; pilot-v2/keywords_enriched_v2.csv row 155,not_collected_no_paid_checks
skin routine tracker,mixed,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 156; pilot-v2/keywords_enriched_v2.csv row 156,not_collected_no_paid_checks
skin scanner,medical_monitoring,wrong_intent,,exclude,"Pilot-v2 status=rejected_medical_or_AI; AI scanner, medical, treatment, diagnosis, or biometric/scoring intent conflicts with current PhotoDays scope. Evidence: pilot-v2/keywords_canonical.csv row 157.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 157; pilot-v2/keywords_enriched_v2.csv row 157,not_collected_no_paid_checks
skin selfie tracker,mixed,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 158; pilot-v2/keywords_enriched_v2.csv row 158,not_collected_no_paid_checks
skincare,unclear,current_product_fit,,exclude,"Pilot-v2 status=manual_review; Mixed, generic, source/semantic conflict, or skin/AI-adjacent intent needs human review. Evidence: pilot-v2/keywords_canonical.csv row 159.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 159; pilot-v2/keywords_enriched_v2.csv row 159,not_collected_no_paid_checks
skincare before and after,mixed,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 160; pilot-v2/keywords_enriched_v2.csv row 160,not_collected_no_paid_checks
skincare photo journal,daily_photo_journal,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 161; pilot-v2/keywords_enriched_v2.csv row 161,not_collected_no_paid_checks
skincare progress tracker,mixed,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 162; pilot-v2/keywords_enriched_v2.csv row 162,not_collected_no_paid_checks
skincare routine,unclear,current_product_fit,,exclude_current_product,"Could imply measurement, treatment, routine management or automatic analysis; the current site documents photo organization and comparison only.",ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 163; pilot-v2/keywords_enriched_v2.csv row 163,not_collected_no_paid_checks
streaks,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 164.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 164; pilot-v2/keywords_enriched_v2.csv row 164,not_collected_no_paid_checks
take a photo every day,unclear,current_product_fit,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 165; pilot-v2/keywords_enriched_v2.csv row 165,not_collected_no_paid_checks
test,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 166.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 166; pilot-v2/keywords_enriched_v2.csv row 166,not_collected_no_paid_checks
timelapse,progress_timeline,fit_with_copy_limitations,,defer,Not a primary target in this four-page release. Revisit only with Google search intent evidence; do not add more pages or repeat variants merely to include the term.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 167; pilot-v2/keywords_enriched_v2.csv row 167,not_collected_no_paid_checks
timelapse selfie,progress_timeline,fit_with_copy_limitations,/photo-progress-video/,target,Matches a documented photo workflow; use natural copy and a relevant example. Google demand and ranking have not been measured.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 168; pilot-v2/keywords_enriched_v2.csv row 168,not_collected_no_paid_checks
timeline,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; One-word competitor-extracted term is too broad without exact SERP evidence. Evidence: pilot-v2/keywords_canonical.csv row 169.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 169; pilot-v2/keywords_enriched_v2.csv row 169,not_collected_no_paid_checks
track,unclear,wrong_intent,,exclude,Pilot-v2 status=rejected_too_broad; Standalone generic one-word or broad term lacks dedicated PhotoDays intent. Evidence: pilot-v2/keywords_canonical.csv row 170.,ASO archive 2026-08-01; pilot-v2/keywords_canonical.csv row 170; pilot-v2/keywords_enriched_v2.csv row 170,not_collected_no_paid_checks
